CustomerID,Churn,Recency,Frequency,TotalSpent,AvgOrderValue,UniqueProducts,TotalItems,AvgDaysBetweenPurchases,AvgBasketSize,StdBasketSize,MaxBasketSize,PreferredDay,PreferredHour,CountryDiversity,CustomerLifetimeDays,PurchaseVelocity,Purchases_Last30Days,Purchases_Last60Days,Purchases_Last90Days,ProductDiversityScore,AvgPricePreference,StdPricePreference,MinPrice,MaxPrice,AvgQuantityPerOrder,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,CustomerSegment
16384,0,173,1,392.1,17.047826086956523,23,198,0.0,198.0,54.388476697334326,198,0,10,1,0,1.0,0.0,0.0,0.0,1.0,2.6456521739130436,1.5481596878139972,0.85,5.45,198.0,1,1,3,5,At Risk
16385,0,67,2,239.47000000000003,7.043235294117648,33,148,6.303030303030303,74.0,12.727922061357855,83,0,12,1,208,0.009569377990430622,0.0,0.0,1.0,0.9705882352941176,2.0297058823529412,1.4384956057781815,0.19,4.95,74.0,3,2,2,7,Potential
16386,0,163,1,61.10000000000001,15.275000000000002,4,26,0.0,26.0,54.388476697334326,26,3,12,1,0,1.0,0.0,0.0,0.0,1.0,3.0250000000000004,1.5564382416273383,0.85,4.15,26.0,1,1,1,3,Lost
16387,1,232,1,94.36,23.59,4,44,0.0,44.0,54.388476697334326,44,4,11,1,0,1.0,0.0,0.0,0.0,1.0,3.16,2.155705607606629,1.25,5.95,44.0,1,1,1,3,Lost
16389,0,114,2,496.05,35.43214285714286,14,223,5.923076923076923,111.5,74.24621202458749,164,2,13,1,77,0.02564102564102564,0.0,0.0,0.0,1.0,2.267857142857143,0.875215828954634,1.25,4.15,111.5,2,2,3,7,Potential
16392,1,179,1,210.24,5.005714285714286,40,200,0.0,200.0,54.388476697334326,200,1,12,1,0,1.0,0.0,0.0,0.0,0.9523809523809523,1.8733333333333335,1.5399028583024743,0.29,6.95,200.0,1,1,2,4,At Risk
16393,0,3,9,1746.85,8.278909952606634,95,977,1.2904761904761906,108.55555555555556,48.23150192330504,212,2,12,1,274,0.03272727272727273,1.0,2.0,3.0,0.45023696682464454,1.8917061611374406,0.9393802054495459,0.29,5.95,108.55555555555556,4,4,4,12,Champions
16394,0,80,3,588.52,12.010612244897958,47,630,2.4375,210.0,184.44782460088814,365,2,10,1,118,0.025210084033613446,0.0,0.0,1.0,0.9591836734693877,1.6389795918367347,1.7015804478214258,0.29,5.95,210.0,2,3,3,8,Loyal
16395,0,77,3,774.21,7.742100000000001,81,676,1.6262626262626263,225.33333333333334,111.6348213297864,349,3,15,1,162,0.018404907975460124,0.0,0.0,1.0,0.81,1.9411,1.483447319420191,0.21,6.75,225.33333333333334,2,3,3,8,Loyal
16398,1,63,2,972.95,18.357547169811323,50,511,1.9038461538461537,255.5,171.82694782833104,377,3,9,1,99,0.02,0.0,0.0,1.0,0.9433962264150944,2.606415094339623,1.7533946134675482,0.42,6.95,255.5,3,2,4,9,Loyal
